BTCUSDT,ETHUSDT,date
54869.0,1693.62,2021-03-27
54997.6,1696.72,2021-03-27
55165.87,1702.0,2021-03-27
55073.77,1698.21,2021-03-27
55093.18,1698.98,2021-03-27
55127.92,1698.76,2021-03-27
55155.9,1700.84,2021-03-27
55076.83,1700.15,2021-03-27
54944.72,1696.1,2021-03-27
54938.95,1696.76,2021-03-27
54916.64,1694.18,2021-03-27
54814.99,1693.58,2021-03-27
54719.99,1692.86,2021-03-27
54881.29,1695.95,2021-03-27
54875.71,1695.74,2021-03-27
54986.25,1698.19,2021-03-27
54957.12,1696.99,2021-03-27
55004.75,1697.12,2021-03-27
55255.42,1700.62,2021-03-27
55245.82,1701.47,2021-03-27
55177.81,1700.37,2021-03-27
55143.83,1699.65,2021-03-27
55063.33,1698.38,2021-03-27
55024.23,1697.85,2021-03-27
55177.64,1701.52,2021-03-27
55224.47,1703.74,2021-03-27
55158.65,1702.0,2021-03-27
55115.04,1700.65,2021-03-27
55107.45,1700.73,2021-03-27
55098.0,1701.69,2021-03-27
55053.11,1700.62,2021-03-27
55053.62,1701.48,2021-03-27
55027.16,1699.77,2021-03-27
55037.93,1699.19,2021-03-27
54999.46,1698.53,2021-03-27
55017.91,1698.36,2021-03-27
54990.12,1697.72,2021-03-27
54985.0,1697.01,2021-03-27
55026.19,1697.72,2021-03-27
54942.08,1695.0,2021-03-27
54846.26,1691.78,2021-03-27
54858.99,1690.06,2021-03-27
54821.77,1686.8,2021-03-27
54894.86,1689.0,2021-03-27
54950.28,1692.06,2021-03-27
55075.41,1692.47,2021-03-27
54927.44,1690.71,2021-03-27
54876.81,1691.1,2021-03-27
54970.0,1693.51,2021-03-27
54879.44,1689.51,2021-03-27
54800.8,1683.23,2021-03-27
54756.5,1686.0,2021-03-27
54771.44,1687.24,2021-03-27
54836.68,1690.32,2021-03-27
54842.9,1691.32,2021-03-27
54945.0,1693.12,2021-03-27
54925.06,1692.86,2021-03-27
54949.99,1693.73,2021-03-27
54888.12,1692.59,2021-03-27
54839.99,1689.59,2021-03-27
54802.79,1689.1,2021-03-27
54866.12,1691.84,2021-03-27
54864.85,1693.5,2021-03-27
54930.2,1694.92,2021-03-27
54857.53,1692.61,2021-03-27
54886.84,1693.98,2021-03-27
54881.13,1692.06,2021-03-27
54873.2,1692.8,2021-03-27
55013.42,1697.77,2021-03-27
55066.81,1698.67,2021-03-27
55081.81,1699.31,2021-03-27
54985.99,1697.52,2021-03-27
